,accession,strain
6455,KU887961,B5-257TS-2011_Vietnam:VinhLong_2011-06-16
6456,KU887960,C5-249-2006_Vietnam:KienGiang_2006-04-15
6457,KU887959,C4-248S-2011_Vietnam:DongNai_2011-06-15
6458,KU887958,C4-2476TS-2011_Vietnam:HauGiang_2011-12-21
6459,KU887957,C5-247-2006_Vietnam:KienGiang_2006-04-15
6460,KU887956,C4-245TS-2011_Vietnam:HoChiMinh_2011-06-15
6461,KU887955,C5-244-2006_Vietnam:BinhThuan_2006-04-15
6462,KU887954,C4-242TS-2012_Vietnam:HoChiMinh_2012-03-31
6463,KU887953,C4-242TS-2011_Vietnam:HoChiMinh_2011-06-14
6464,KU887952,B5-241P-2013_Vietnam:BenTre_2013-05-03
6465,KU887951,C4-239TS-2011_Vietnam:HoChiMinh_2011-06-15
6466,KU887950,C4-238TS-2011_Vietnam:TienGiang_2011-06-14
6467,KU887949,C4-236TS-2012_Vietnam:TayNinh_2012-03-26
6468,KU887948,B5-236P-2013_Vietnam:TienGiang_2013-04-26
6469,KU887947,C4-235TS-2012_Vietnam:BinhPhuoc_2012-03-25
6470,KU887946,C4-235TS-2011_Vietnam:BinhDuong_2011-06-14
6471,KU887945,C4-234TS-2012_Vietnam:BinhPhuoc_2012-03-22
6472,KU887944,C5-234-2006_Vietnam:KhanhHoa_2006-04-15
6473,KU887943,B5-230P-2013_Vietnam:TienGiang_2013-05-01
6474,KU887942,C4-229TS-2011_Vietnam:HoChiMinh_2011-06-13
6475,KU887941,C4-228TS-2011_Vietnam:HoChiMinh_2011-06-13
6476,KU887940,B5-228P-2013_Vietnam:TienGiang_2013-05-05
6477,KU887939,C4-226TS-2011_Vietnam:LongAn_2011-06-10
6478,KU887938,C5-224TS-2012_Vietnam:CanTho_2012-03-24
6479,KU887937,C4-223TS-2011_Vietnam:HoChiMinh_2011-06-10
6480,KU887936,C4-219TS-2011_Vietnam:BinhDuong_2011-06-08
6481,KU887935,C5-218TS-2011_Vietnam:TienGiang_2011-06-09
6482,KU887934,C4-214TS-2011_Vietnam:HoChiMinh_2011-06-08
6483,KU887933,C5-209S-2010_Vietnam:HoChiMinh_2010-03-04
6484,KU887932,B5-209P-2013_Vietnam:TienGiang_2013-04-24
6485,KU887931,C5-209-2006_Vietnam:KienGiang_2006-04-15
6486,KU887930,C4-208TS-2011_Vietnam:HoChiMinh_2011-06-07
6487,KU887929,C4-207TS-2011_Vietnam:HoChiMinh_2011-06-07
6488,KU887928,C4-206TS-2011_Vietnam:HoChiMinh_2011-06-07
6489,KU887927,C4-204TS-2011_Vietnam:LongAn_2011-06-07
6490,KU887926,C4-2047TS-2011_Vietnam:DongNai_2011-11-15
6491,KU887925,C4-202TS-2011_Vietnam:BaRia_2011-06-05
6492,KU887924,C4-200S-2011_Vietnam:BinhDuong_2011-06-04
6493,KU887923,C5-198TS-2010_Vietnam:BinhDuong_2010-02-23
6494,KU887922,C4-1941TS-2011_Vietnam:DongThap_2011-10-25
6495,KU887921,C4-193TS-2011_Vietnam:HoChiMinh_2011-06-06
6496,KU887920,C4-1907TS-2011_Vietnam:CaMau_2011-11-01
6497,KU887919,C4-1905TS-2011_Vietnam:AnGiang_2011-10-31
6498,KU887918,C4-18S-2012_Vietnam:CanTho_2011-12-30
6499,KU887917,C4-189TS-2011_Vietnam:HoChiMinh_2011-06-05
6500,KU887916,C4-1868S-2011_Vietnam:BinhDuong_2011-10-28
6501,KU887915,C5-185S-2011_Vietnam:DongThap_2011-06-01
6502,KU887914,C5-184-2006_Vietnam:DongThap_2006-04-15
6503,KU887913,C4-183TS-2011_Vietnam:TienGiang_2011-06-02
6504,KU887912,C5-181S-2008_Vietnam:TayNinh_2008-11-27
6505,KU887911,C4-1804TS-2011_Vietnam:SocTrang_2011-10-20
6506,KU887910,C4-1800TS-2011_Vietnam:DongThap_2011-10-19
6507,KU887909,C5-18-2007_Vietnam:KhanhHoa_2007-01-03
6508,KU887908,C4-1792TS-2011_Vietnam:LongAn_2011-10-16
6509,KU887907,C4-1770TS-2011_Vietnam:TienGiang_2011-10-11
6510,KU887906,C4-1767TS-2011_Vietnam:TienGiang_2011-10-10
6511,KU887905,C4-1764TS-2011_Vietnam:LongAn_2011-10-10
6512,KU887904,C5-1763TS-2011_Vietnam:AnGiang_2011-10-07
6513,KU887903,C4-1762TS-2011_Vietnam:DongThap_2011-10-07
6514,KU887902,C4-1749TS-2011_Vietnam:BinhThuan_2011-10-04
6515,KU887901,C4-1742TS-2011_Vietnam:BinhPhuoc_2011-10-06
6516,KU887900,C4-1741TS-2011_Vietnam:BinhPhuoc_2011-10-06
6517,KU887899,C4-1738TS-2011_Vietnam:DakLak_2011-10-07
6518,KU887898,C4-1728S-2011_Vietnam:LongAn_2011-10-18
6519,KU887897,C4-1722TS-2011_Vietnam:BacLieu_2011-10-17
6520,KU887896,C5-172-2006_Vietnam:CanTho_2006-04-15
6521,KU887895,C4-171TS-2011_Vietnam:HoChiMinh_2011-06-02
6522,KU887894,C5-171-2006_Vietnam:HoChiMinh_2006-04-15
6523,KU887893,C4-167TS-2012_Vietnam:AnGiang_2012-02-06
6524,KU887892,C4-1679S-2011_Vietnam:DongNai_2011-10-13
6525,KU887891,C4-163TS-2011_Vietnam:HoChiMinh_2011-06-01
6526,KU887890,C4-1612TS-2011_Vietnam:DongNai_2011-10-07
6527,KU887889,C5-16-2007_Vietnam:NinhThuan_2007-02-02
6528,KU887888,C5-15S-2008_Vietnam:BinhDuong_2008-04-15
6529,KU887887,C5-158TS-2011_Vietnam:DongThap_2011-06-01
6530,KU887886,C4-156TS-2011_Vietnam:BacLieu_2011-05-31
6531,KU887885,C4-1545S-2011_Vietnam:CanTho_2011-10-02
6532,KU887884,C4-153TS-2011_Vietnam:TayNinh_2011-05-31
6533,KU887883,C5-153TS-2003_Vietnam:TayNinh_2003-06-15
6534,KU887882,C4-152TS-2011_Vietnam:HoChiMinh_2011-05-31
6535,KU887881,C4-150TS-2011_Vietnam:TienGiang_2011-05-31
6536,KU887880,C4-149TS-2011_Vietnam:HoChiMinh_2011-05-31
6537,KU887879,C4-1486TS-2011_Vietnam:AnGiang_2011-09-26
6538,KU887878,B5-142P-2013_Vietnam:VinhLong_2013-03-18
6539,KU887877,C5-140-2006_Vietnam:PhuYen_2006-03-15
6540,KU887876,C4-1391TS-2011_Vietnam:HoChiMinh_2011-09-15
6541,KU887875,C4-1388TS-2011_Vietnam:AnGiang_2011-09-14
6542,KU887874,C4-1385TS-2011_Vietnam:DongThap_2011-09-12
6543,KU887873,C4-1377TS-2011_Vietnam:TayNinh_2011-09-08
6544,KU887872,C4-1376TS-2011_Vietnam:TayNinh_2011-09-08
6545,KU887871,C4-1375TS-2011_Vietnam:BinhPhuoc_2011-09-08
6546,KU887870,C4-1374TS-2011_Vietnam:DongNai_2011-09-05
6547,KU887869,B5-136P-2013_Vietnam:BenTre_2013-03-18
6548,KU887868,C5-136-2006_Vietnam:KienGiang_2006-03-15
6549,KU887867,C4-1349S-2011_Vietnam:KonTum_2011-08-17
6550,KU887866,C4-133TS-2011_Vietnam:TienGiang_2011-05-27
6551,KU887865,C4-133S-2012_Vietnam:DongNai_2012-01-19
6552,KU887864,C5-1337TS-2011_Vietnam:GiaLai_2011-08-29
6553,KU887863,C5-133-2006_Vietnam:KienGiang_2006-03-15
6554,KU887862,C4-132S-2012_Vietnam:DongNai_2012-01-19
6555,KU887861,C5-132-2006_Vietnam:KienGiang_2006-03-15
6556,KU887860,C4-130TS-2011_Vietnam:HoChiMinh_2011-05-30
6557,KU887859,C4-1303TS-2011_Vietnam:TienGiang_2011-09-03
6558,KU887858,C4-1300TS-2011_Vietnam:HoChiMinh_2011-09-10
6559,KU887857,C4-129TS-2011_Vietnam:HoChiMinh_2011-05-30
6560,KU887856,C4-129P-2013_Vietnam:VinhLong_2013-03-14
6561,KU887855,C4-1298TS-2011_Vietnam:BinhDuong_2011-09-09
6562,KU887854,C5-129-2007_Vietnam:HauGiang_2007-12-07
6563,KU887853,C4-128P-2013_Vietnam:VinhLong_2013-03-14
6564,KU887852,C4-1283TS-2011_Vietnam:TayNinh_2011-08-31
6565,KU887851,B5-127P-2013_Vietnam:VinhLong_2013-03-14
6566,KU887850,C4-1270TS-2011_Vietnam:HoChiMinh_2011-09-07
6567,KU887849,C4-1270S-2011_Vietnam:HoChiMinh_2011-09-07
6568,KU887848,C5-126-2007_Vietnam:AnGiang_2007-12-07
6569,KU887847,C4-125TS-2012_Vietnam:CanTho_2012-01-22
6570,KU887846,C4-123TS-2011_Vietnam:HoChiMinh_2011-05-30
6571,KU887845,C5-122S-2009_Vietnam:BinhDuong_2009-12-06
6572,KU887844,C4-1219TS-2011_Vietnam:LongAn_2011-09-04
6573,KU887843,C4-1215TS-2011_Vietnam:BaRia_2011-09-01
6574,KU887842,C4-1214S-2011_Vietnam:DongNai_2011-09-01
6575,KU887841,C5-120S-2009_Vietnam:BinhDuong_2009-12-06
6576,KU887840,C4-1190TS-2011_Vietnam:HoChiMinh_2011-08-24
6577,KU887839,B5-118P-2013_Vietnam:BenTre_2013-02-27
6578,KU887838,C4-1189TS-2011_Vietnam:LongAn_2011-08-24
6579,KU887837,C4-1188TS-2011_Vietnam:HoChiMinh_2011-08-23
6580,KU887836,C4-1183TS-2011_Vietnam:TienGiang_2011-09-01
6581,KU887835,C4-117TS-2011_Vietnam:HoChiMinh_2011-05-25
6582,KU887834,C4-116S-2012_Vietnam:CanTho_2012-01-24
6583,KU887833,C4-116S-2011_Vietnam:HoChiMinh_2011-05-26
6584,KU887832,C5-116S-2009_Vietnam:HoChiMinh_2009-12-06
6585,KU887831,C4-1154TS-2011_Vietnam:DongNai_2011-08-29
6586,KU887830,C4-114S-2011_Vietnam:HoChiMinh_2011-05-26
6587,KU887829,C5-112S-2011_Vietnam:BinhDuong_2011-05-26
6588,KU887828,C5-112-2006_Vietnam:KienGiang_2006-03-15
6589,KU887827,C5-111S-2009_Vietnam:BinhDuong_2009-07-08
6590,KU887826,C4-1115TS-2011_Vietnam:HoChiMinh_2011-08-24
6591,KU887825,C4-1112TS-2011_Vietnam:DongNai_2011-08-23
6592,KU887824,C5-111-2006_Vietnam:NinhThuan_2006-03-15
6593,KU887823,C4-110S-2012_Vietnam:HoChiMinh_2012-01-15
6594,KU887822,C5-110S-2009_Vietnam:HoChiMinh_2009-07-08
6595,KU887821,C4-1107S-2011_Vietnam:DongNai_2011-08-25
6596,KU887820,C5-10S-2008_Vietnam:DongNai_2008-03-15
6597,KU887819,C5-109S-2009_Vietnam:HoChiMinh_2009-07-07
6598,KU887818,C4-108TS-2011_Vietnam:HoChiMinh_2011-05-26
6599,KU887817,C4-108S-2012_Vietnam:DongNai_2012-01-16
6600,KU887816,C4-1086TS-2011_Vietnam:HoChiMinh_2011-08-22
6601,KU887815,C4-1082TS-2011_Vietnam:HoChiMinh_2011-08-22
6602,KU887814,C5-107TS-2009_Vietnam:HoChiMinh_2009-07-03
6603,KU887813,B5-107P-2013_Vietnam:TienGiang_2013-02-24
6604,KU887812,C4-1064TS-2011_Vietnam:HoChiMinh_2011-08-19
6605,KU887811,C4-105TS-2011_Vietnam:LongAn_2011-05-26
6606,KU887810,C5-103S-2009_Vietnam:BinhDuong_2009-06-22
6607,KU887809,C4-1032TS-2011_Vietnam:LongAn_2011-08-15
6608,KU887808,C4-1030TS-2011_Vietnam:BenTre_2011-08-15
6609,KU887807,C5-101S-2009_Vietnam:HoChiMinh_2009-06-09
6610,KU887806,C4-100TS-2012_Vietnam:BinhDuong_2012-01-12
6611,KU887805,C4-1004TS-2011_Vietnam:DongNai_2011-08-17
6612,KU887804,C5-099S-2008_Vietnam:CanTho_2008-06-10
6613,KU887803,C5-099-2006_Vietnam:NinhThuan_2006-03-15
6614,KU887802,C5-098TS-2009_Vietnam:HoChiMinh_2009-06-04
6615,KU887801,C5-097TS-2009_Vietnam:HoChiMinh_2009-06-04
6616,KU887800,C5-097-2006_Vietnam:NinhThuan_2006-03-15
6617,KU887799,C5-092TS-2009_Vietnam:DongNai_2009-05-31
6618,KU887797,C5-089S-2012_Vietnam:DongNai_2012-01-06
6619,KU887796,C5-088S-2009_Vietnam:HoChiMinh_2009-05-31
6620,KU887795,C5-083-2006_Vietnam:KienGiang_2006-03-15
6621,KU887794,C5-081-2006_Vietnam:KienGiang_2006-03-15
6622,KU887793,C5-077-2006_Vietnam:KienGiang_2006-03-15
6623,KU887792,C5-076-2006_Vietnam:KienGiang_2006-03-15
6624,KU887791,C5-073S-2009_Vietnam:TraVinh_2009-05-20
6625,KU887790,C5-073-2006_Vietnam:KienGiang_2006-03-15
6626,KU887789,C5-072-2006_Vietnam:KienGiang_2006-03-15
6627,KU887788,C5-054TS-2009_Vietnam:BaRia_2009-05-04
6628,KU887787,C5-051S-2009_Vietnam:TienGiang_2009-06-30
6629,KU887786,C5-050TS-2009_Vietnam:LongAn_2009-04-30
6630,KU887785,C4-048TS-2012_Vietnam:NinhThuan_2012-01-02
6631,KU887784,C5-048-2006_Vietnam:NinhThuan_2006-03-15
6632,KU887783,C5-046TS-2009_Vietnam:HoChiMinh_2009-05-03
6633,KU887782,C4-046S-2012_Vietnam:DongNai_2012-01-03
6634,KU887781,B5-042P-2013_Vietnam:VinhLong_2013-01-14
6635,KU887780,C5-041TS-2009_Vietnam:HoChiMinh_2009-04-27
6636,KU887779,C4-041-2006_Vietnam:NinhThuan_2006-03-15
6637,KU887778,C5-040S-2009_Vietnam:HoChiMinh_2009-04-27
6638,KU887777,B5-038P-2013_Vietnam:TienGiang_2013-01-14
6639,KU887776,C4-032TS-2012_Vietnam:AnGiang_2011-12-23
6640,KU887775,C5-029-2006_Vietnam:KienGiang_2006-03-15
6641,KU887774,C5-027S-2009_Vietnam:BinhDuong_2009-04-22
6642,KU887773,C5-026-2006_Vietnam:NinhThuan_2006-03-15
6643,KU887772,C4-025-2006_Vietnam:TienGiang_2006-03-15
6644,KU887771,C5-024-2006_Vietnam:NinhThuan_2006-03-15
6645,KU887770,C5-022-2006_Vietnam:NinhThuan_2006-03-15
6646,KU887769,C5-020TS-2009_Vietnam:BinhDuong_2009-04-17
6647,KU887768,C5-017-2006_Vietnam:NinhThuan_2006-03-15
6648,KU887767,C5-016TS-2009_Vietnam:HoChiMinh_2009-04-16
6649,KU887766,C5-013S-2009_Vietnam:BinhDuong_2009-04-15
6650,KU887765,C5-012S-2009_Vietnam:HoChiMinh_2009-04-10
6651,KU887764,C5-010-2006_Vietnam:NinhThuan_2006-03-15
6652,KU887763,C4-006TS-2012_Vietnam:AnGiang_2011-12-22
6653,KU887762,C5-004-2006_Vietnam:KienGiang_2006-02-15
6654,KU748632,HFMD-74
6655,KU748631,HFMD-14
6656,KU748630,HFMD-38
6657,KU748629,HFMD-5
6658,KU748628,HFMD-31
6659,KU748627,HFMD-22
6660,KU159520,C4-ND-181_Vietnam:HoChiMinh_2012-04-12
6661,KU159519,C4-ND-179_Vietnam:HoChiMinh_2012-04-04
6662,KU159518,C4-ND-178_Vietnam:HoChiMinh_2012-07-17
6663,KU159517,C4-ND-177_Vietnam:BinhDuong_2012-02-12
6664,KU159516,C4-ND-175_Vietnam:HoChiMinh_2012-03-06
6665,KU159515,C4-ND-174_Vietnam:HoChiMinh_2012-03-05
6666,KU159514,C4-ND-173_Vietnam:HoChiMinh_2012-02-22
6667,KU159513,C4-ND-172_Vietnam:HoChiMinh_2012-09-19
6668,KU159512,C4-ND-169_Vietnam:DongThap_2012-02-16
6669,KU159511,B5-ND-160_Vietnam:CaMau_2012-08-08
6670,KU159510,C4-ND-159_Vietnam:HoChiMinh_2012-08-07
6671,KU159509,C4-ND-151_Vietnam:HoChiMinh_2012-11-14
6672,KU159508,C4-ND-147_Vietnam:TienGiang_2012-06-04
6673,KU159507,C4-ND-146_Vietnam:HoChiMinh_2012-05-26
6674,KU159506,C4-ND-144_Vietnam:TienGiang_2012-05-26
6675,KU159505,C4-ND-142_Vietnam:KienGiang_2012-05-23
6676,KU159504,C4-ND-140_Vietnam:HoChiMinh_2012-05-21
6677,KU159503,C4-ND-138_Vietnam:BinhThuan_2012-05-20
6678,KU159502,C4-ND-136_Vietnam:LongAn_2012-05-16
6679,KU159501,C4-ND-134_Vietnam:TayNinh_2012-05-14
6680,KU159500,C4-ND-133_Vietnam:LongAn_2012-05-14
6681,KU159499,C4-ND-132_Vietnam:LongAn_2012-05-14
6682,KU159498,C4-ND-131_Vietnam:HoChiMinh_2012-05-09
6683,KU159497,C4-ND-128_Vietnam:AnGiang_2012-02-09
6684,KU159496,C4-ND-127_Vietnam:TayNinh_2012-05-23
6685,KU159495,C4-ND-126_Vietnam:BacGiang_2012-05-03
6686,KU159494,C4-ND-125_Vietnam:LongAn_2012-05-01
6687,KU159493,B5-ND-124_Vietnam:TayNinh_2012-04-20
6688,KU159492,C4-ND-123_Vietnam:BacLieu_2012-04-23
6689,KU159491,C4-ND-121_Vietnam:TienGiang_2012-04-24
6690,KU159490,C4-ND-118_Vietnam:TraVinh_2012-04-22
6691,KU159489,C4-ND-116_Vietnam:LongAn_2012-04-20
6692,KU159488,C4-ND-113_Vietnam:LongAn_2012-04-15
6693,KU159487,C4-ND-109_Vietnam:DongThap_2012-04-11
6694,KU159486,C4-ND-107_Vietnam:TienGiang_2012-04-12
6695,KU159485,C4-ND-106_Vietnam:TraVinh_2012-04-09
6696,KU159484,C4-ND-101_Vietnam:LongAn_2012-04-05
6697,KU159483,C4-ND-100_Vietnam:TienGiang_2012-04-03
6698,KU159482,C5-ND-98_Vietnam:TayNinh_2012-03-30
6699,KU159481,C4-ND-97_Vietnam:LongAn_2012-03-31
6700,KU159480,C4-ND-96_Vietnam:TayNinh_2012-04-01
6701,KU159479,C4-ND-94_Vietnam:AnGiang_2012-03-29
6702,KU159478,C4-ND-93_Vietnam:TayNinh_2012-03-26
6703,KU159477,C4-ND-92_Vietnam:LongAn_2012-03-27
6704,KU159476,C4-ND-89_Vietnam:HoChiMinh_2012-02-23
6705,KU159475,C4-ND-86_Vietnam:DongThap_2012-06-21
6706,KU159474,C4-ND-84_Vietnam:AnGiang_2012-06-24
6707,KU159473,C4-ND-83_Vietnam:AnGiang_2012-06-20
6708,KU159472,C4-ND-63_Vietnam:HoChiMinh_2012-04-10
6709,KU159471,C4-ND-62_Vietnam:HoChiMinh_2012-04-05
6710,KU159470,C4-ND-60_Vietnam:AnGiang_2012-03-09
6711,KU159469,C4-ND-58_Vietnam:DongThap_2012-02-11
6712,KU159468,C4-ND-55_Vietnam:BinhPhuoc_2012-03-12
6713,KU159467,C4-ND-54_Vietnam:HoChiMinh_2012-03-09
6714,KU159466,C4-ND-52_Vietnam:DongThap_2012-03-08
6715,KU159465,C4-ND-50_Vietnam:HoChiMinh_2012-03-05
6716,KU159464,C4-ND-46_Vietnam:DongThap_2012-03-05
6717,KU159463,C4-ND-41_Vietnam:HoChiMinh_2012-02-23
6718,KU159462,C4-ND-40_Vietnam:AnGiang_2012-01-05
6719,KU159461,C4-ND-37_Vietnam:BacLieu_2012-02-19
6720,KU159460,C4-ND-31_Vietnam:BacLieu_2012-01-31
6721,KU159459,C4-ND-27_Vietnam:LongAn_2012-01-15
6722,KU159458,C4-ND-22_Vietnam:BacNinh_2012-02-24
6723,KU159457,C4-ND-21_Vietnam:HungYen_2012-02-22
6724,KU159456,C4-ND-20_Vietnam:VinhPhuc_2012-02-18
6725,KU159455,C4-ND-18_Vietnam:Hanoi_2012-02-14
6726,KU159454,B5-ND-17_Vietnam:Hanoi_2012-02-15
6727,KU159453,C4-ND-15_Vietnam:Hanoi_2012-02-15
6728,KU159452,C4-ND-14_Vietnam:Hanoi_2012-01-13
6729,KU159451,B5-ND-12_Vietnam:HungYen_2012-02-13
6730,KU159450,C4-ND-10_Vietnam:Hanoi_2012-01-16
6731,KU159449,B5-ND-09_Vietnam:Hanoi_2012-02-01
6732,KU159448,C4-ND-08_Vietnam:BacNinh_2012-02-01
6733,KU159447,C4-ND-07_Vietnam:Hanoi_2012-01-31
6734,KU159446,B5-ND-05_Vietnam:BacGiang_2012-01-11
6735,KU159445,B5-ND-04_Vietnam:Hanoi_2012-01-10
6736,KU159444,B5-ND-03_Vietnam:Hanoi_2012-01-08
6737,KU159443,C4-ND-02_Vietnam:Hanoi_2012-01-02
6738,KU159442,C4-ND-200_Vietnam:HoChiMinh_2012-03-28
6739,KU159441,C4-ND-198_Vietnam:HoChiMinh_2012-03-21
6740,KU159440,C4-ND-171_Vietnam:BinhDuong_2012-02-18
6741,KU159439,C4-ND-158_Vietnam:BenTre_2012-08-04
6742,KU159438,C4-ND-153_Vietnam:HoChiMinh_2012-07-23
6743,KU159437,C4-ND-152_Vietnam:VinhLong_2012-07-16
6744,KU159436,C4-ND-150_Vietnam:DongThap_2012-07-05
6745,KU159435,C4-ND-137_Vietnam:VungTau_2012-05-20
6746,KU159434,C4-ND-114_Vietnam:CaMau_2012-04-15
6747,KT717748,10MF55_2010.11_JJ
6748,KT717747,10MG17_2010.11_GG
6749,KT717746,10MJ42_2010.12_TX
6750,KT717745,10MF65_2010.12_JJ
6751,KT717744,10MF63_2010.12_JJ
6752,KT717743,10MF62_2010.12_JJ
6753,KT717742,10D11_2010.10_TZ
6754,KT717741,10F85_2010.10_TZ
6755,KT717740,10D9_2010.11_TZ
6756,KT717739,10F86_2010.10_TZ
6757,KT717738,10F87_2010.10_TZ
6758,KT717737,10MC48_2010.10_XH
6759,KT717736,10MC46_2010.10_XH
6760,KT717735,10MF51_2010.09_JJ
6761,KT717734,10MF50_2010.09_JJ
6762,KT717733,10MC29_2010.07_XH
6763,KT717732,10MF47_2010.09_JJ
6764,KT717731,10MJ25_2010.09_TX
6765,KT717730,10F81_2010.09_TZ
6766,KT717729,10MF43_2010.08_JJ
6767,KT717728,10MM25_2010.08_JY
6768,KT717727,10MF41_2010.08_JJ
6769,KT717726,10MC31_2010.07_XH
6770,KT717725,10MC28_2010.07_XH
6771,KT717723,10MF33_2010.07_JJ
6772,KT717722,10MJ15_2010.07_TX
6773,KT717721,10MF36_2010.07_JJ
6774,KT717720,10MM21_2010.07_JY
6775,KT717719,10F73_2010.07_TZ
6776,KT717718,10MC20_2010.06_XH
6777,KT717717,10F72_2010.07_TZ
6778,KT717716,10MM17_2010.06_JY
6779,KT717715,10MM16_2010.06_JY
6780,KT717714,10MF24_2010.06_JJ
6781,KT717713,10MF21_2010.06_JJ
6782,KT717712,10MM15_2010.06_JY
6783,KT717711,10MC16_2010.06_XH
6784,KT717710,10M7_2010.06_TZ
6785,KU595933,EV71/FJFZ421/CHN/2015
6786,KU595861,EV71/FJFZ173/CHN/2014
6787,KU595757,EV71/FJND003/CHN/2010
6788,KU595756,EV71/FJND002/CHN/2010
6789,KU595755,EV71/FJND001/CHN/2010
6790,KU595754,EV71/FJLY008/CHN/2010
6791,KU595753,EV71/FJLY005/CHN/2010
6792,KU595752,EV71/FJLY003/CHN/2010
6793,KU595751,EV71/FJLY001/CHN/2010
6794,KU595750,EV71/FJNP021/CHN/2010
6795,KU595749,EV71/FJNP020/CHN/2010
6796,KU595748,EV71/FJNP011/CHN/2010
6797,KU595747,EV71/FJNP007/CHN/2010
6798,KU595746,EV71/FJZZ014/CHN/2010
6799,KU595745,EV71/FJZZ010/CHN/2010
6800,KU595744,EV71/FJZZ008/CHN/2010
6801,KU595743,EV71/FJZZ005/CHN/2010
6802,KU595742,EV71/FJZZ002/CHN/2010
6803,KU595741,EV71/FJQZ040/CHN/2010
6804,KU595740,EV71/FJQZ033/CHN/2010
6805,KU595739,EV71/FJQZ029/CHN/2010
6806,KU595738,EV71/FJQZ025/CHN/2010
6807,KU595737,EV71/FJQZ023/CHN/2010
6808,KU595736,EV71/FJQZ018/CHN/2010
6809,KU595735,EV71/FJSM012/CHN/2010
6810,KU595734,EV71/FJSM009/CHN/2010
6811,KU595733,EV71/FJSM008/CHN/2010
6812,KU595732,EV71/FJSM006/CHN/2010
6813,KU595731,EV71/FJSM001/CHN/2010
6814,KU595730,EV71/FJPT012/CHN/2010
6815,KU595729,EV71/FJPT011/CHN/2010
6816,KU595728,EV71/FJPT010/CHN/2010
6817,KU595727,EV71/FJPT003/CHN/2010
6818,KU595726,EV71/FJXM012/CHN/2010
6819,KU595725,EV71/FJXM011/CHN/2010
6820,KU595724,EV71/FJXM009/CHN/2010
6821,KU595723,EV71/FJXM003/CHN/2010
6822,KU595722,EV71/FJXM002/CHN/2010
6823,KU595721,EV71/FJXM001/CHN/2010
6824,KU595720,EV71/FJFZ097/CHN/2010
6825,KU595719,EV71/FJFZ092/CHN/2010
6826,KU595718,EV71/FJFZ091/CHN/2010
6827,KU595717,EV71/FJFZ090/CHN/2010
6828,KU595716,EV71/FJFZ013/CHN/2010
6829,KU595715,EV71/FJFZ010/CHN/2010
6830,KU595714,EV71/FJFZ008/CHN/2010
6831,KR827490,1025/Rostov.RUS/2013
6832,KF913223,2684/Volgograd/RU/2013
6833,KF913215,EV71c4-F-2362/Rostov/Shah/RU/2013
6834,KF913214,EV71c4-F-894/Rostov/RU/2013
6835,KF913213,EV71c4-F-892/Rostov/RU/2013
6836,KF801578,356_2012_EV71_CUBA
6837,KF801577,373_2012_EV71_CUBA
6838,KF268114,WH249
6839,KF268113,WH237
6840,KF268112,WH156
6841,KC875402,BJ/CHN/2008
6842,MK307439.2,S1693b
6843,MK307438.2,S1705a
6844,MK307437.2,S2934a
6845,MK307436.2,S705B
6846,MK307435.2,S3013b
6847,MK307434.2,S2991b
6848,MK307433.2,S2927b
6849,MK307432.2,S2752b
6850,MK307431.2,S2683b
6851,MK307430.2,S2486b
6852,MK307429.2,S2016b
6853,MK307428.2,S2010a
6854,MK307427.2,S1883a
6855,MK307426.2,S2604b
6856,MK307425.2,S2392b
6857,MK307424.2,S2383a
6858,MK307423.2,S2222b
6859,MK307422.2,S2186a
6860,MK307421.2,S1842a
6861,MK307420.2,S726b
6862,MK307419.2,S1776b
6863,MK307418.2,S1572a
6864,MK307417,S3050b
6865,MK307416,S2661a
6866,MK307415,S2258b
6867,MK307414,S2774a
6868,MK307413,S2468a
6869,MK307412,S2256a
6870,MK307411,S3044B
6871,MK307410,S2423B
6872,MK307409,S2715B
6873,MK307408,S2735B
6874,MK307407,S2819B
6875,MK307406,S2860B
6876,MK307405,S2898a
6877,MK307404,S2952b
6878,MK307403,S2301a
6879,MK307402,S2440a
6880,MK307401,S2525a
6881,MK307400,S2578a
6882,MK307399,S2691a
6883,MK307398,S2281a
6884,MK307397,S2286a
6885,MK307396,S2284a
6886,MK307395,S2408a
6887,MK307394,S2657a
6888,MK307393,S2872a
6889,MK307392,S2863a
6890,MK307391,S2834a
6891,MK307390,S2876a
6892,MK307389,S2941a
6893,MK307388,S2741a
6894,MK307387,S2887a
6895,MK307386,S3074b
6896,MK307385,S3005B
6897,MK307384,S3061a
6898,MK307383,S3071a
6899,MK307382,S2261b
6900,MK307381,S2180b
6901,MK307380,S2030b
6902,MK307379,S2029b
6903,MK307378,S1994a
6904,MK307377,S1777B
6905,MK307376,S1717B
6906,MK307375,S1675B
6907,MK307374,S452B
6908,MK307373,S468B
6909,MK307372,S533B
6910,MK307371,S692B
6911,MK307370,S937B
6912,MK307369,S1175B
6913,MK307368,S1283B
6914,MK307367,S2544B
6915,MK307366,S1597B
6916,MK307365,S1517B
6917,MK307364,S1507B
6918,MK307363,S1483B
6919,MK307362,S1460B
6920,MK307361,S1450a
6921,MK307360,S1420B
6922,MK307359,S1274a
6923,MK307358,S1226a
6924,MK307357,S993a
6925,MK307356,S765a
6926,MK307355,S711a
6927,MK307354,S625a
6928,MK307353,S554a
6929,MK307352,S319a
6930,MK307351,S265B
6931,MK307350,S104a
6932,MK307349,S66a
6933,MK307348,S1652a
